type;toi;x00;x10;x20;x30;x01;x11;x21;x31;x0r;x1r;x2r;x3r
PointTriangle;0.34486184;0.0999119654,0.0102156224,0.0072698435;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001672447,0.0096143810,0.0064924802;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001672447,0.0096143810,0.0064924802;0.1000195146,-0.2500459552,-0.2500594258;0.1000390276,0.2499080896,0.2498811632;0.1000585333,0.2498621345,-0.2501782477
PointTriangle;0.5261974;0.0998745188,0.0140070561,0.0197621081;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001129895,0.0138197960,0.0197743867;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001129895,0.0138197960,0.0197743867;0.1000131816,-0.2500103414,-0.2499993145;0.1000263691,-0.2500207126,0.2500013709;0.1000395492,0.2499689460,0.2500020266
PointTriangle;0.3794878;0.0999110118,0.0248857383,0.0207493547;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001455113,0.0248854179,0.0208164547;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001455113,0.0248854179,0.0208164547;0.1000169814,-0.2500000298,-0.2499951422;0.1000339538,0.2499999553,0.2500097156;0.1000509262,0.2499999255,-0.2499854267
PointTriangle;0.22738086;0.0999010056,0.0226018913,0.0207806341;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1003363803,0.0226720944,0.0207966752;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1003363803,0.0226720944,0.0207966752;0.1000392437,-0.2499936670,-0.2499985546;0.1000784934,0.2500126660,0.2500028908;0.1001177356,0.2500189841,-0.2499956638
PointTriangle;0.8959525;0.0998086855,0.0112936450,0.0065578227;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000222191,0.0108022410,0.0057748077;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000222191,0.0108022410,0.0057748077;0.1000025943,-0.2500059605,-0.2500095069;0.1000051871,0.2499880642,0.2499809861;0.1000077799,0.2499821037,-0.2500285208
PointTriangle;0.40492964;0.0998865366,0.0226511322,0.0197039600;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001667455,0.0225951485,0.0197431538;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001667455,0.0225951485,0.0197431538;0.1000194550,-0.2500038743,-0.2499972731;0.1000389084,0.2499922216,0.2500054538;0.1000583619,0.2499883473,-0.2499918342
PointTriangle;0.5232143;0.0998659134,0.0204402618,0.0197749361;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001221910,0.0204939768,0.0197847299;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001221910,0.0204939768,0.0197847299;0.1000142545,-0.2499970049,-0.2499994487;0.1000285149,0.2500059903,0.2500011027;0.1000427678,0.2500089705,-0.2499983609
PointTriangle;0.95052505;0.0997801349,0.0252315607,0.0351881832;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000114456,0.0255712532,0.0361087210;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000114456,0.0255712532,0.0361087210;0.1000013351,-0.2499980330,-0.2499946803;0.1000026688,-0.2499960810,0.2500106394;0.1000040099,0.2500058711,0.2500159442
PointTriangle;0.19249466;0.0999253616,0.0252881646,0.0089237252;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1003131121,0.0254832394,0.0086362222;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1003131121,0.0254832394,0.0086362222;0.1000365317,-0.2499816269,-0.2500270903;0.1000730619,0.2500367463,0.2499458343;0.1001095921,0.2500551343,-0.2500812709
PointTriangle;0.7361526;0.0997701734,0.0217609424,0.0359242596;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000823751,0.0218616799,0.0369798057;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000823751,0.0218616799,0.0369798057;0.1000096127,-0.2499969006,-0.2499675006;0.1000192240,-0.2499938011,0.2500649989;0.1000288352,0.2500092983,0.2500974834
PointTriangle;0.74796754;0.0997607782,0.0064474521,0.0287682340;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000806093,0.0055716261,0.0293388218;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000806093,0.0055716261,0.0293388218;0.1000094041,-0.2500257492,-0.2499832213;0.1000188068,-0.2500514984,0.2500335574;0.1000282168,0.2499227375,0.2500503361
