type;toi;x00;x10;x20;x30;x01;x11;x21;x31;x0r;x1r;x2r;x3r
PointTriangle;0.8510573;0.0998149812,0.0113640055,0.0338232070;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000323817,0.0108996369,0.0346353762;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000323817,0.0108996369,0.0346353762;0.1000037789,-0.2500080764,-0.2499858886;0.1000075564,-0.2500161529,0.2500282228;0.1000113338,0.2499757856,0.2500423491
PointTriangle;0.37588328;0.0999068692,0.0288127642,0.0335130021;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001546383,0.0293001588,0.0342949070;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001546383,0.0293001588,0.0342949070;0.1000180393,-0.2499645054,-0.2499430627;0.1000360847,-0.2499290258,0.2501138747;0.1000541225,0.2501064539,0.2501707971
PointTriangle;0.679483;0.0998480543,0.0298738219,0.0327778570;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000716761,0.0304188337,0.0335077420;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000716761,0.0304188337,0.0335077420;0.1000083610,-0.2499796152,-0.2499727011;0.1000167280,-0.2499592453,0.2500545979;0.1000250876,0.2500611544,0.2500818670
PointTriangle;0.8080594;0.0998978093,0.0330008529,0.0293329433;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000242755,0.0335699990,0.0297472607;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000242755,0.0335699990,0.0297472607;0.1000028327,-0.2499872595,-0.2499907166;0.1000056639,0.2500254810,0.2500185668;0.1000084952,0.2500382364,-0.2499721646
PointTriangle;0.38840795;0.0999298021,0.0090209916,0.0316904597;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001105383,0.0084992889,0.0322356112;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001105383,0.0084992889,0.0322356112;0.1000128984,-0.2500372231,-0.2499611080;0.1000257954,-0.2500744462,0.2500777841;0.1000386924,0.2498883307,0.2501167059
PointTriangle;0.8479194;0.0997660458,0.0347111300,0.0270712115;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000419632,0.0356526338,0.0275242943;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000419632,0.0356526338,0.0275242943;0.1000048965,-0.2499832958,-0.2499919683;0.1000097916,0.2500334084,0.2500160635;0.1000146866,0.2500501275,-0.2499758899
PointTriangle;0.41910315;0.0998939499,0.0078956690,0.0307010654;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001469940,0.0072733103,0.0312523283;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001469940,0.0072733103,0.0312523283;0.1000171527,-0.2500421703,-0.2499626428;0.1000342965,-0.2500843704,0.2500747144;0.1000514477,0.2498734593,0.2501120865
PointTriangle;0.7163996;0.0997907892,0.0356022790,0.0242915452;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000828221,0.0365719162,0.0245651193;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000828221,0.0365719162,0.0245651193;0.1000096649,-0.2499679178,-0.2499909550;0.1000193283,0.2500641644,0.2500180900;0.1000289917,0.2500962317,-0.2499728501
PointTriangle;0.33884415;0.0998924971,0.0238507390,0.0234364867;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1002097651,0.0238271616,0.0235069208;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1002097651,0.0238271616,0.0235069208;0.1000244766,-0.2500018179,-0.2499945611;0.1000489444,0.2499963641,0.2500108778;0.1000734195,0.2499945462,-0.2499836981
PointTriangle;0.3941669;0.0999014229,0.0237597041,0.0223545730;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001515165,0.0237636641,0.0224693939;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001515165,0.0237636641,0.0224693939;0.1000176817,-0.2499997169,-0.2499918789;0.1000353545,0.2500005662,0.2500162423;0.1000530347,0.2500008345,-0.2499756515
PointTriangle;0.40225136;0.0999289155,0.0194296613,0.0256342720;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001056358,0.0194601249,0.0257050395;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001056358,0.0194601249,0.0257050395;0.1000123248,-0.2499978691,-0.2499950677;0.1000246480,-0.2499957532,0.2500098646;0.1000369713,0.2500063777,0.2500148118
PointTriangle;0.9596184;0.0999355540,0.0226835683,0.0249797907;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000027135,0.0227226987,0.0250492375;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000027135,0.0227226987,0.0250492375;0.1000003144,-0.2499998212,-0.2499996722;0.1000006348,-0.2499996275,0.2500006557;0.1000009477,0.2500005662,0.2500009835
PointTriangle;0.40023115;0.0998993665,0.0238372833,0.0244925618;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001508087,0.0238921400,0.0245393366;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001508087,0.0238921400,0.0245393366;0.1000175923,-0.2499961555,-0.2499967217;0.1000351906,-0.2499923259,0.2500065565;0.1000527814,0.2500115037,0.2500098050
PointTriangle;0.66737425;0.0998992771,0.0194303244,0.0182463955;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000502035,0.0194497425,0.0182326101;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000502035,0.0194497425,0.0182326101;0.1000058576,-0.2499992400,-0.2500005364;0.1000117138,0.2500015199,0.2499989271;0.1000175700,0.2500022650,-0.2500016093
PointTriangle;0.42162383;0.0999235883,0.0172869414,0.0234487616;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001048237,0.0172686242,0.0235107634;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001048237,0.0172686242,0.0235107634;0.1000122279,-0.2500012219,-0.2499958128;0.1000244617,-0.2500024736,0.2500083745;0.1000366881,0.2499962896,0.2500125468
PointTriangle;0.3504917;0.0999229923,0.0162091590,0.0239620805;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001427099,0.0161348339,0.0240919553;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001427099,0.0161348339,0.0240919553;0.1000166535,-0.2500056326,-0.2499901652;0.1000332981,-0.2500112653,0.2500196695;0.1000499502,0.2499831021,0.2500295341
PointTriangle;0.5951755;0.0999240801,0.0259886868,0.0171032399;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000516415,0.0260118004,0.0170622654;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000516415,0.0260118004,0.0170622654;0.1000060290,-0.2499989122,-0.2500019372;0.1000120491,0.2500021756,0.2499961257;0.1000180766,0.2500032783,-0.2500058115
PointTriangle;0.34385812;0.0998867303,0.0226434860,0.0229151640;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1002161428,0.0227183420,0.0229251180;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1002161428,0.0227183420,0.0229251180;0.1000252217,-0.2499942631,-0.2499992400;0.1000504345,-0.2499885410,0.2500015199;0.1000756472,0.2500171959,0.2500022948
PointTriangle;0.6007046;0.0999275818,0.0194405112,0.0223860145;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000481397,0.0195146184,0.0223963466;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000481397,0.0195146184,0.0223963466;0.1000056192,-0.2499965429,-0.2499995232;0.1000112370,-0.2499931008,0.2500009537;0.1000168473,0.2500103712,0.2500014305
PointTriangle;0.3593462;0.0998969749,0.0193956308,0.0161121935;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001836807,0.0193800796,0.0160237178;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001836807,0.0193800796,0.0160237178;0.1000214294,-0.2500011623,-0.2500066161;0.1000428572,0.2499976754,0.2499867678;0.1000642926,0.2499965131,-0.2500198483
PointTriangle;0.6316004;0.0998844132,0.0172328576,0.0160879549;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000674218,0.0171997026,0.0160462819;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000674218,0.0171997026,0.0160462819;0.1000078693,-0.2500014305,-0.2500017881;0.1000157297,0.2499971539,0.2499964237;0.1000235975,0.2499957234,-0.2500053644
PointTriangle;0.80204725;0.0998692289,0.0227182228,0.0155052654;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000322774,0.0227393359,0.0154357431;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000322774,0.0227393359,0.0154357431;0.1000037640,-0.2499995083,-0.2500016093;0.1000075340,0.2500009835,0.2499967963;0.1000112966,0.2500014603,-0.2500048280
PointTriangle;0.67870104;0.0998315066,0.0204818398,0.0155766280;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000797674,0.0204618778,0.0154865878;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000797674,0.0204618778,0.0154865878;0.1000093073,-0.2500007451,-0.2500033677;0.1000186130,0.2499985099,0.2499932498;0.1000279188,0.2499977499,-0.2500101328
PointTriangle;0.4652916;0.0998882353,0.0183257479,0.0155520178;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001284420,0.0183095820,0.0154874371;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001284420,0.0183095820,0.0154874371;0.1000149846,-0.2500010133,-0.2500040233;0.1000299677,0.2499979883,0.2499919385;0.1000449583,0.2499969751,-0.2500120997
PointTriangle;0.54203033;0.0998871028,0.0227622930,0.0144031579;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000953913,0.0228043403,0.0143050300;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000953913,0.0228043403,0.0143050300;0.1000111327,-0.2499977499,-0.2500052452;0.1000222564,0.2500045002,0.2499895096;0.1000333875,0.2500067353,-0.2500157356
PointTriangle;0.33372396;0.0999236107,0.0204962138,0.0144412257;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001525149,0.0205501188,0.0143375043;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001525149,0.0205501188,0.0143375043;0.1000177935,-0.2499958128,-0.2500080764;0.1000355855,0.2500083745,0.2499838769;0.1000533774,0.2500125766,-0.2500241995
PointTriangle;0.40897867;0.0999123752,0.0183039904,0.0144344708;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001266316,0.0182768423,0.0143401409;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001266316,0.0182768423,0.0143401409;0.1000147760,-0.2500018775,-0.2500064969;0.1000295505,0.2499962598,0.2499869913;0.1000443250,0.2499943823,-0.2500195205
PointTriangle;0.9961197;0.0998546407,0.0226594489,0.0176034346;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000005677,0.0226091873,0.0175830834;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000005677,0.0226091873,0.0175830834;0.1000000685,-0.2500000298,-0.2500000000;0.1000001356,0.2499999553,0.2499999851;0.1000002027,0.2499999255,-0.2500000298
PointTriangle;0.42177644;0.0999168232,0.0151154362,0.0192921050;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001140326,0.0149753466,0.0192799084;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001140326,0.0149753466,0.0192799084;0.1000133082,-0.2500094473,-0.2500008345;0.1000266075,-0.2500188947,0.2499983609;0.1000399143,0.2499716431,0.2499975264
PointTriangle;0.34438;0.0999292359,0.0150698461,0.0182260275;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001347229,0.0149637479,0.0182132348;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001347229,0.0149637479,0.0182132348;0.1000157222,-0.2500081062,-0.2500009835;0.1000314355,-0.2500162423,0.2499980479;0.1000471562,0.2499756515,0.2499970645
PointTriangle;0.9973992;0.0999314263,0.0172656327,0.0182699393;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000001803,0.0172567405,0.0182275642;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000001803,0.0172567405,0.0182275642;0.1000000238,-0.2500000000,-0.2500000000;0.1000000462,-0.2500000000,0.2499999702;0.1000000611,0.2499999851,0.2499999553
PointTriangle;0.74261326;0.0998749137,0.0205211304,0.0250397678;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000433564,0.0205373242,0.0250725746;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000433564,0.0205373242,0.0250725746;0.1000050604,-0.2499995083,-0.2499990165;0.1000101194,-0.2499990314,0.2500019670;0.1000151783,0.2500014603,0.2500029504
PointTriangle;0.58979046;0.0998628736,0.0338320322,0.0116725368;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000953764,0.0346475877,0.0111881252;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000953764,0.0346475877,0.0111881252;0.1000111252,-0.2499609739,-0.2500231862;0.1000222564,0.2500780523,0.2499536276;0.1000333801,0.2501170933,-0.2500695586
PointTriangle;0.2801974;0.0999251306,0.0285999533,0.0108589055;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001923382,0.0287092477,0.0106054358;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001923382,0.0287092477,0.0106054358;0.1000224426,-0.2499908209,-0.2500212789;0.1000448763,0.2500183582,0.2499574274;0.1000673175,0.2500275373,-0.2500638664
PointTriangle;0.73558897;0.0998239219,0.0042350967,0.0166069232;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000632942,0.0034404940,0.0164462309;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000632942,0.0034404940,0.0164462309;0.1000073850,-0.2500244975,-0.2500049472;0.1000147685,-0.2500490248,0.2499900907;0.1000221521,0.2499264628,0.2499851286
PointTriangle;0.7653351;0.0998608395,0.0091250334,0.0079402383;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000426710,0.0085723177,0.0072623701;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000426710,0.0085723177,0.0072623701;0.1000049785,-0.2500151396,-0.2500185668;0.1000099555,0.2499697357,0.2499628812;0.1000149325,0.2499546111,-0.2500556707
PointTriangle;0.9027202;0.0997596756,0.0317355022,0.0087122591;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000258997,0.0324322619,0.0080453139;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000258997,0.0324322619,0.0080453139;0.1000030264,-0.2499920875,-0.2500075698;0.1000060439,0.2500158250,0.2499848604;0.1000090688,0.2500237226,-0.2500227094
PointTriangle;0.58433735;0.0998901501,0.0276509468,0.0341550522;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000781432,0.0280514453,0.0349363685;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000781432,0.0280514453,0.0349363685;0.1000091210,-0.2499805838,-0.2499621063;0.1000182331,-0.2499611527,0.2500757873;0.1000273526,0.2500582635,0.2501136661
PointTriangle;0.7285339;0.0998035893,0.0051152133,0.0138024949;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000731885,0.0042902185,0.0134283761;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000731885,0.0042902185,0.0134283761;0.1000085399,-0.2500261366,-0.2500118613;0.1000170782,-0.2500522435,0.2499763072;0.1000256166,0.2499216199,0.2499644607
PointTriangle;0.5314682;0.0999206007,0.0226443261,0.0197087247;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000699997,0.0226057097,0.0197125878;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000699997,0.0226057097,0.0197125878;0.1000081673,-0.2500021160,-0.2499997914;0.1000163332,0.2499957830,0.2500004172;0.1000244990,0.2499936670,-0.2499993593
PointTriangle;0.7277324;0.0998970643,0.0204467922,0.0197761264;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000385135,0.0204622280,0.0197968427;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000385135,0.0204622280,0.0197968427;0.1000044942,-0.2499995083,-0.2499993443;0.1000089869,0.2500009835,0.2500013113;0.1000134796,0.2500014603,-0.2499980330
PointTriangle;0.9729091;0.0998346433,0.0112339091,0.0064626378;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000046059,0.0107874684,0.0057617873;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000046059,0.0107874684,0.0057617873;0.1000005379,-0.2500014007,-0.2500022054;0.1000010744,0.2499971837,0.2499955744;0.1000016108,0.2499957681,-0.2500066459
PointTriangle;0.5692319;0.0998863652,0.0123686353,0.0057680653;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000859961,0.0119925765,0.0050005983;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000859961,0.0119925765,0.0050005983;0.1000100374,-0.2500188947,-0.2500385642;0.1000200659,0.2499621958,0.2499228567;0.1000301018,0.2499433011,-0.2501157224
PointTriangle;0.43060914;0.0999035090,0.0139842918,0.0197636001;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001275927,0.0138141112,0.0197771229;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001275927,0.0138141112,0.0197771229;0.1000148878,-0.2500112951,-0.2499991059;0.1000297740,-0.2500226200,0.2500017881;0.1000446603,0.2499660850,0.2500026822
PointTriangle;0.85464245;0.0997158736,0.0205577742,0.0363584161;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000483260,0.0205704067,0.0374679975;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000483260,0.0205704067,0.0374679975;0.1000056416,-0.2499997914,-0.2499811798;0.1000112742,-0.2499995679,0.2500376403;0.1000169143,0.2500006557,0.2500564456
PointTriangle;0.38152954;0.0999160334,0.0135146184,0.0051804930;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001361161,0.0131663494,0.0044040680;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001361161,0.0131663494,0.0044040680;0.1000158787,-0.2500251234,-0.2500560284;0.1000317633,0.2499497384,0.2498879582;0.1000476405,0.2499246150,-0.2501680553
PointTriangle;0.7770401;0.0998796746,0.0237464048,0.0191536918;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000345275,0.0237173606,0.0191294029;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000345275,0.0237173606,0.0191294029;0.1000040323,-0.2500007451,-0.2500006258;0.1000080556,0.2499984950,0.2499987334;0.1000120863,0.2499977350,-0.2500019073
PointTriangle;0.66797936;0.0998192877,0.0297432411,0.0069391211;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000898257,0.0303388163,0.0061558275;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000898257,0.0303388163,0.0061558275;0.1000104845,-0.2499769330,-0.2500303388;0.1000209600,0.2500461340,0.2499393225;0.1000314429,0.2500692010,-0.2500910163
PointTriangle;0.94482195;0.0998082533,0.0252728537,0.0353000872;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000111997,0.0255810507,0.0361248814;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000111997,0.0255810507,0.0361248814;0.1000013053,-0.2499980181,-0.2499946952;0.1000026166,-0.2499960363,0.2500106096;0.1000039205,0.2500059605,0.2500159144
PointTriangle;0.7316735;0.0997996628,0.0063409843,0.0288375951;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000734717,0.0055472720,0.0293428134;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000734717,0.0055472720,0.0293428134;0.1000085697,-0.2500248551,-0.2499841899;0.1000171453,-0.2500496805,0.2500316203;0.1000257134,0.2499254644,0.2500474453
